id,biolovision_english,biolovision_latin,ebird_species_code
54015,Viuria sp.,,
54016,Panoquina sp.,,
54017,Papias sp.,,
54018,Parphorus sp.,,
54019,Pellicia sp.,,
54020,Tricrista sp.,,
54021,Perichares sp.,,
54022,Perichares prestoeaphaga,,
54023,Phanes sp.,,
54025,Phlebodes sp.,,
54026,Phocides sp.,,
54028,Ectomis sp.,,
54029,Porphyrogenes sp.,,
54030,Metrocles sp.,,
54031,Pyrrhopyge sp.,,
54033,Pythonides sp.,,
54034,Quasimellana sp.,,
54035,Saliana / Justinia sp.,,
54036,Saturnus sp.,,
54037,Sostrata sp.,,
54039,Telemiades sp.,,
54040,Thoon sp.,,
54041,Thracides sp.,,
54042,Turesis sp.,,
54043,Cogia sp.,,
54044,Udranomia sp.,,
54045,Vehilius sp.,,
54046,Venas sp.,,
54047,Vettius sp.,,
54048,Vettius lafrenaye / triangularis,,
54049,Virga sp.,,
54050,Xeniades sp.,,
54051,Yanguna sp.,,
54052,Hybrid Tufted Duck x Red-crested Pochard,Aythya fuligula x Netta rufina,x00376
54053,Pandemina sp.,,
54054,Calydna thersander / stolata,,
54055,Chalodeta sp.,,
54056,Phaenochitonia sp.,,
54057,Detritivora sp.,,
54058,Myselasia sp.,,
54059,Euselasia gr. orfita,,
54060,Pelolasia gr. artos,,
54061,Euselasia catoleuce / teleclus,,
54062,Euselasia gr. eunaeus,,
54063,Euselasia gr. midas,,
54064,Pelolasia sp.,,
54065,Mesosemia gr. cippus,,
54066,Mesosemia gr. ephyne,,
54067,Mesosemia gr. epidius,,
54068,Mesosemia gr. nyctea,,
54069,Napaea gr. eucharila,,
54070,Nymphidium gr. baeotia,,
54071,Nymphidium gr. fulminans,,
54072,Pirascca sp.,,
54073,Sarota sp.,,
54074,Symmachia gr. probetor,,
54075,Theope gr. excelsa,,
54076,Theope gr. foliorum,,
54077,Theope gr. eudocia,,
54078,Theope gr. discus,,
54079,Theope gr. nycteis,,
54080,Theope sobrina / thootes,,
54081,Coliadinae sp.,,
54082,Dismorphiinae sp.,,
54083,Pierinae sp.,,
54244,Cicadomorpha sp.,,
54300,Hybrid Yellowhammer x Pine Bunting,Emberiza citrinella x leucocephalos,x00823
54304,Phanocloidea procera,,
54305,Phanocloidea lobulatipes,,
54306,Phantasca arlequina,,
54307,Phantasca bulbosa,,
54308,Phantasca kawensis,,
54309,Phantasca margaritae,,
54310,Cladomorphus guianensis,,
54312,Hirtuleius gracilis,,
54313,Dinelytron cahureli,,
54314,Prisopus clarus,,
54315,Prisopus conocephalus,,
54316,Prisopus sacratus,,
54317,Prisopus wolfgangjunki,,
54318,Agrostia longicerca,,
54319,Ignacia atrophica,,
54320,Isagoras similis,,
54321,Paragrostia brulei,,
54322,Paragrostia sp.,,
54323,Paraprisopus apterus,,
54324,Paraprisopus multicolorus,,
54325,Parastratocles fuscomarginatus,,
54326,Parastratocles rosanti,,
54327,Prexaspes guianensis,,
54328,Prexaspes globosicaput,,
54329,Prexaspes quadriguttatus,,
54330,Eastern Bonelli's Warbler,Phylloscopus bonelli / orientalis,eabwar1
54331,Isabelline / Red-tailed Shrike,Lanius isabellinus /phoenicuroides,rutshr1
54413,Scaly Thrush,Zoothera dauma,scathr8
54414,Western Subalpine Warbler,Sylvia cantillans iberiae,subwar6
54471,Viréo chivi,Vireo chivi,chivir1
54472,Saltator de Cabanis,Saltator olivascens,grasal4
54696,Larus fuscus graellsii / intermedius,Larus fuscus graellsii / intermedius,lbbgul6
54719,Eurema sp.,,
54721,Polygonus sp.,,
54722,Pyrisitia sp.,,
54748,Cackling Goose (ssp. hutchinsii),Branta hutchinsii hutchinsii,ricgoo1
54756,Norops sagrei,,
54762,Aetalion reticulatum,,
54763,Aetalion sp.,,
54764,Biturritia sp.,,
54765,Lophyraspis diminuta,,
54766,Lophyraspis muscaria,,
54767,Lophyraspis pygmaea,,
54768,Lophyraspis scutellata,,
54769,Tropidaspis sp.,,
54771,Sphodroscarta gigas,,
54772,Sphodroscarta trivirgata,,
54773,Sphodroscarta sp.,,
54774,Aeneolamia flavilatera,,
54775,Aeneolamia varia,,
54776,Baetkia compressa,,
54778,Baetkia maroniensis,,
54779,Baetkia sp.1,,
54780,Catrimania albifascia,,
54781,Catrimania sp.1,,
54783,Deois incompleta,,
54784,Hemitomaspis caligata,,
54785,Ischnorhina ephippium,,
54786,Ischnorhina hamiltoni,,
54787,Ischnorhina surinamensis,,
54788,Ischnorhina sp.1,,
54789,Ischnorhina sp.2,,
54790,Ischnorhina sp.3,,
54791,Laccogrypota valida,,
54792,Mahanarva noctua,,
54793,Mahanarva phantastica,,
54794,Mahanarva tristis,,
54795,Maxantonia diversa,,
54796,Maxantonia lineola,,
54797,Maxantonia sp.1,,
54798,Monecphora longitudinalis,,
54799,Monecphora pallida,,
54800,Monecphora sp.1,,
54801,Neomonecphora apicalis,,
54802,Neomonecphora laurentana,,
54803,Neomonecphora lunulata,,
54804,Neomonecphora obtusa,,
54805,Neomonecphora robusta,,
54806,Neomonecphora sp.1,,
54807,Schistogonia simulans,,
54808,Schistogonia sp.1,,
54809,Sinopia signata,,
54810,Sphenorhina rubra,,
54813,Zulia pubescens,,
54814,Cercopidae sp.1,,
54815,Cercopidae sp.2,,
54816,Cercopidae sp.3,,
54817,Cercopidae sp.4,,
54818,Acrocampsa pallipes,,
54849,Clinonana mirabilis,,
54864,Dilobopterus exaltatus,,
54865,Dilobopterus fastuosus,,
54901,Macugonalia moesta,,
54903,Microgoniella illustris,,
54912,Pegogonia rufipes,,
54913,Peltocheirus bigibbosus,,
54914,Peltocheirus paradoxus,,
54915,Peltocheirus rubidus,,
54927,Raphirhinus phosphoreus,,
55039,Poekilloptera phalaenoides,,
55041,Aburia olivacea,,
55042,Aburia sp.,,
55043,Acraephia perspicillata,,
55044,Acraephia sp.,,
55045,Alphina nigrosignata,,
55046,Alphina sp.,,
55047,Aracynthus loicmatilei,,
55050,Calyptoproctus aridus,,
55052,Calyptoproctus elegans,,
55054,Calyptoproctus weyrauchi,,
55055,Calyptoproctus sp.,,
55057,Diareusa annularis,,
55058,Dilobura corticina,,
55059,Echetra abrahami,,
55061,Echetra nebulosa,,
55062,Echetra sp.,,
55063,Enchophora antoinei,,
55064,Enchophora maculata,,
55065,Enchophora prasina,,
55066,Enchophora pyrrhocrypta,,
55068,Enchophora tuberculata,,
55069,Enchophora sp.,,
55070,Enhydria brachialis,,
55072,Enhydria tesselata,,
55073,Episcius guianensis,,
55074,Flatolystra basalis,,
55075,Flatolystra bisinuata,,
55076,Flatolystra distincta,,
55077,Flatolystra verrucosa,,
55078,Flatolystra ypsilon,,
55079,Flatrolystra semibasalis,,
55080,Flatolystra sp.,,
55082,Fulgora sp.1,,
55083,Japetus lichenus,,
55084,Japetus tostus,,
55085,Japetus sp.,,
55086,Kutariana jassoides,,
55087,Learcha sponsa,,
55090,Lystra sp.,,
55091,Neocynthus champenoisi,,
55092,Neocynthus crassus,,
55093,Odontoptera carrenoi,,
55094,Odontoptera toulgoeti,,
55095,Odontoptera sp.,,
55096,Oeagra lugubris,,
55097,Paralystra emma,,
55098,Paralystra florenciana,,
55099,Paralystra sp.,,
55100,Phenax variegata,,
55101,Phrictus auromaculatus,,
55103,Phrictus regalis,,
55104,Phrictus sp.,,
55105,Pterodictya reticularis,,
55106,Scaralis nigronotata,,
55107,Scaralis picta,,
55108,Scaralis semilimpida,,
55109,Scaralis spectabilis,,
55110,Scaralis versicolor,,
55111,Scaralis sp.1,,
55112,Scaralis sp.2,,
55113,Scaralis sp.3,,
55114,Scaralis sp.,,
55115,Stalubra brunnea,,
55116,Stalubra rufula,,
55117,Stalubra sp.,,
55118,Tabocasa lineata,,
55119,Tabocasa sp.,,
55125,Abelus luctuosus,,
55126,Abelus sp.,,
55127,Aconophora cultellata,,
55128,Aconophora marginata,,
55129,Aconophora sp.,,
55130,Alcmeone curvicornis,,
55131,Alcmeone sp.,,
55132,Allodrilus alboferrugineus,,
55133,Allodrilus sp.,,
55134,Alobia alutacea,,
55135,Alobia sp.,,
55136,Amastris alvarengai,,
55137,Amastris angulata,,
55138,Amastris arquata,,
55139,Amastris broomfieldi,,
55140,Amastris deitzi,,
55141,Amastris dissimilis,,
55142,Amastris elevata,,
55143,Amastris elongata,,
55144,Amastris exaltata,,
55145,Amastris exigua,,
55146,Amastris fasciata,,
55147,Amastris funkhouseri,,
55148,Amastris guttata,,
55149,Amastris maculipennis,,
55150,Amastris notata,,
55151,Amastris obtegens,,
55152,Amastris projecta,,
55153,Amastris pseudoelevata,,
55154,Amastris rotheai,,
55155,Amastris rubrodorsata,,
55156,Amastris subangulata,,
55157,Amastris triviale,,
55158,Amastris unica,,
55159,Amastris vicina,,
55160,Amastris vitallina,,
55161,Amastris sp.,,
55162,Amblyophallus exaltatus,,
55163,Amblyophallus sp.,,
55164,Anchistrotus amitteraglobus,,
55165,Anchistrotus inanis,,
55166,Anchistrotus maculatus,,
55167,Anchistrotus obesus,,
55168,Anchistrotus sp.176,,
55169,Anchistrotus sp.374,,
55170,Anchistrotus sp.,,
55171,Anobilia guianae,,
55172,Anobilia nigra,,
55173,Anobilia tripartita,,
55174,Anobilia sp.,,
55175,Aphetea inconspicua,,
55176,Aphetea parvula,,
55177,Aphetea sp.,,
55178,Aspona compacta,,
55179,Aspona jauffreti,,
55180,Aspona pompanoni,,
55181,Aspona turgescens,,
55182,Aspona sp.,,
55183,Atypa gibbosa,,
55184,Atypa sp.,,
55185,Aurimastris expansa,,
55186,Aurimastris otina,,
55187,Aurimastris sp.,,
55188,Bocydium globulare,,
55189,Bocydium sp.,,
55190,Bolbonota inaequalis,,
55191,Bolbonota pictipennis,,
55192,Bolbonota tuberculata,,
55193,Bolbonota sp.,,
55194,Calloconophora gaudencia,,
55195,Calloconophora sp.,,
55196,Centronodinae sp.,,
55197,Centronodus bilobatus,,
55198,Centronodus intermedius,,
55199,Centronodus prasinatus,,
55200,Centronodus rochalimai,,
55201,Centronodus sp.,,
55202,Centrotinae sp.,,
55203,Ceresa amazonica,,
55204,Ceresa viridilineata,,
55205,Ceresa vitulus,,
55206,Ceresa sp.,,
55207,Ceresini sp.173,,
55208,Ceresini sp.363,,
55209,Chelyoidea aenea,,
55210,Chelyoidea intermedia,,
55211,Chelyoidea sp.,,
55212,Cladonota amazonica,,
55213,Cladonota apicalis,,
55214,Cladonota biclavata,,
55215,Cladonota foliata,,
55216,Cladonota grisea,,
55217,Cladonota lydieae,,
55218,Cladonota occidentalis,,
55219,Cladonota sp.,,
55220,Colisicostata scutellaris,,
55221,Colisicostata sp.,,
55222,Cymbomorpha amazona,,
55223,Cymbomorpha bipuncta,,
55224,Cymbomorpha convexa,,
55225,Cymbomorpha nebulosilvensis,,
55226,Cymbomorpha olivacea,,
55227,Cymbomorpha vaginata,,
55228,Cymbomorpha sp.,,
55229,Cyphonia clavata,,
55230,Cyphonia trifida,,
55231,Cyphonia sp.,,
55232,Cyphotes insolito,,
55233,Cyphotes sp.,,
55234,Darninae sp.,,
55235,Darnini goutte sp.,,
55236,Darnini grumeau sp.,,
55237,Darnini sp.337,,
55238,Darnis lateralis,,
55239,Darnis olivacea,,
55240,Darnis trifasciata,,
55241,Darnis sp.,,
55242,Dectonura sp.,,
55243,Dioclophara viridula,,
55244,Dioclophara sp.,,
55245,Dysyncritus sp.,,
55246,Enchenopa albidorsa,,
55247,Enchenopa amazonensis,,
55248,Enchenopa andina,,
55249,Enchenopa anseriformis,,
55250,Enchenopa beebei,,
55251,Enchenopa concolor,,
55252,Enchenopa costaricensis,,
55253,Enchenopa cuneata,,
55254,Enchenopa ferruginea,,
55255,Enchenopa gladius,,
55256,Enchenopa gracilis,,
55257,Enchenopa lanceolata,,
55258,Enchenopa squamigera,,
55259,Enchenopa vittifera,,
55260,Enchenopa sp.,,
55261,Enchophyllum dubium,,
55262,Enchophyllum markantum,,
55263,Enchophyllum quinquemaculatum,,
55264,Enchophyllum sp.,,
55265,Endoiastinae sp.,,
55266,Erechtia abbreviata,,
55267,Erechtia carinata,,
55268,Erechtia cristalta,,
55269,Erechtia diminuta,,
55271,Erechtia gibbosa,,
55272,Erechtia nigrovittata,,
55273,Erechtia sallaei,,
55275,Erechtia succedanii,,
55276,Erechtia uniformis,,
55277,Erechtia sp.,,
55278,Erosne bracteata,,
55279,Erosne sp.,,
55280,Eumela fornicata,,
55281,Eumela sp.,,
55282,Eunusa concolor,,
55283,Eunusa sp.,,
55284,Flexocentrus felinus,,
55285,Flexocentrus sp.,,
55286,Folicarina bicolor,,
55287,Folicarina sp.,,
55288,Funkhouseriana cerulea,,
55289,Funkhouseriana sp.,,
55290,Germariana terminalis,,
55291,Germariana sp.,,
55292,Guayaquila xiphias,,
55293,Guayaquila sp.,,
55294,Harmonides dispar,,
55295,Harmonides elongata,,
55296,Harmonides reticulata,,
55297,Harmonides sp.,,
55298,Havilandia hypsoproroides,,
55299,Havilandia pruinosa,,
55300,Havilandia sp.,,
55301,Hebetica sp.,,
55302,Hemikyptha durantoni,,
55303,Hemikyptha marginata,,
55304,Hemikyptha punctata,,
55305,Hemikyptha scutelligera,,
55306,Hemikyptha sp.,,
55307,Hemiptycha cultrata,,
55308,Hemiptycha obtecta,,
55309,Hemiptycha sp.,,
55310,Heteronotinae sp.,,
55311,Heteronotinae sp.2,,
55312,Heteronotus abcisus,,
55313,Heteronotus albopunctus,,
55314,Heteronotus albospinosus,,
55315,Heteronotus armatus,,
55316,Heteronotus belliger,,
55317,Heteronotus brindleyi,,
55318,Heteronotus delineatus,,
55319,Heteronotus excisus,,
55321,Heteronotus formicoides,,
55322,Heteronotus fuscoflavus,,
55323,Heteronotus horridus,,
55324,Heteronotus jauffreti,,
55325,Heteronotus modestus,,
55326,Heteronotus nigrogiganteus,,
55327,Heteronotus pompanoni,,
55328,Heteronotus spinosus,,
55329,Heteronotus vespiformes,,
55330,Heteronotus xanthomelas,,
55331,Heteronotus sp.371,,
55332,Heteronotus sp.,,
55333,Horiola picta,,
55334,Horiola sp.,,
55335,Hygris unicarinata,,
55336,Hygris sp.,,
55337,Hypheodana acuta,,
55338,Hypheodana costata,,
55339,Hypheodana sp.,,
55340,Hyphinoe sp.,,
55341,Hypsoprora bifida,,
55342,Hypsoprora sp.,,
55343,Ischnocentrus niger,,
55344,Ischnocentrus sp.,,
55345,Lallemandia nodosa,,
55346,Lallemandia sp.,,
55347,Leioscyta ambigua,,
55348,Leioscyta trimaculata,,
55349,Leioscyta sp.,,
55350,Lycoderes clavatus,,
55351,Lycoderes desmelasto,,
55352,Lycoderes fabricii,,
55353,Lycoderes sp.,,
55354,Lycoderides abditus,,
55355,Lycoderides brulei,,
55356,Lycoderides carboneus,,
55357,Lycoderides elephantus,,
55358,Lycoderides flucticulus,,
55359,Lycoderides gradatus,,
55360,Lycoderides hippocampus,,
55361,Lycoderides labyrinthicus,,
55362,Lycoderides luteus,,
55363,Lycoderides malicornus,,
55364,Lycoderides marginalis,,
55365,Lycoderides minutifloraphiles,,
55366,Lycoderides pennyi,,
55367,Lycoderides sonzognii,,
55368,Lycoderides sp.,,
55369,Membracinae sp.,,
55370,Membracis compressa,,
55371,Membracis contornata,,
55372,Membracis dorsata,,
55373,Membracis durantoni,,
55374,Membracis fabricii,,
55375,Membracis foliata,,
55376,Membracis foliataarcuata,,
55377,Membracis foliatafasciata,,
55378,Membracis foliatafusca,,
55379,Membracis fusifera,,
55380,Membracis lefebvrei,,
55381,Membracis nigra,,
55382,Membracis obliquifasciata,,
55383,Membracis tectigera,,
55384,Membracis zonata,,
55385,Membracis sp.351 abfb,,
55386,Membracis sp.89 apdc,,
55387,Membracis sp.,,
55388,Micrutalis binaria,,
55389,Micrutalis divisa,,
55390,Micrutalis flavozonata,,
55391,Micrutalis mucuya,,
55392,Micrutalis nigromarginata,,
55393,Micrutalis sp.,,
55394,Nassunia bispina,,
55395,Nassunia conficita,,
55396,Nassunia nigrofascia,,
55397,Nassunia sp.,,
55398,Nasuconia curculionoida,,
55399,Nasuconia sp.,,
55400,Neotynelia nigra,,
55401,Neotynelia pubescens,,
55402,Neotynelia vertebralis,,
55403,Neotynelia sp.,,
55404,Nicomia jucunda,,
55405,Nicomia pulchella,,
55406,Nicomia serrata,,
55407,Nicomia sp.,,
55408,Nicomiinae sp.,,
55409,Notocera cerviceps,,
55410,Notocera crassicornis,,
55411,Notocera cruciata,,
55412,Notocera quadridens,,
55413,Notocera tripodia,,
55414,Notocera sp.,,
55415,Notogonioides costigerus,,
55416,Notogonioides sp.,,
55417,Ochropepla sp.,,
55418,Oeda hamulata,,
55419,Oeda inflata,,
55420,Oeda sp.,,
55421,Omolon sp.,,
55422,Paracentronodus cristatus,,
55423,Paracentronodus favisiae,,
55424,Paracentronodus natalinus,,
55425,Paracentronodus nevesi,,
55426,Paracentronodus nigrostriatus,,
55427,Paracentronodus sp.,,
55428,Philya pallidipennis,,
55429,Philya sp.,,
55430,Phormophora maura,,
55431,Phormophora sp.,,
55432,Phyllotropis fasciata,,
55433,Phyllotropis sp.348,,
55434,Phyllotropis sp.406,,
55435,Phyllotropis sp.410,,
55436,Phyllotropis sp.,,
55437,Potnia gladiator,,
55438,Potnia jacula,,
55439,Potnia spatulata,,
55440,Potnia sp.,,
55441,Procyrta ornamenta,,
55442,Procyrta pectoralis,,
55443,Procyrta sp.,,
55444,Pseuderechtia sp.,,
55445,Ramedia costata,,
55446,Ramedia juncta,,
55447,Ramedia sp.,,
55448,Rhexia centromaculata,,
55449,Rhexia flavicans,,
55450,Rhexia pallescens,,
55451,Rhexia sp.,,
55452,Scytodepsa exigua,,
55453,Scytodepsa sp.,,
55454,Smerdalea imminens,,
55455,Smerdalea sp.,,
55456,Smilidarnis fasciatus,,
55457,Smilidarnis sp.94,,
55458,Smilidarnis sp.,,
55459,Smiliinae sp.,,
55460,Smiliorachis nubilis,,
55461,Smiliorachis sp.,,
55462,Stalomia veruta,,
55463,Stalomia sp.,,
55464,Stegaspidinae sp.,,
55465,Stegaspis bracteata,,
55466,Stegaspis fronditia,,
55467,Stegaspis sp.,,
55468,Stictodepsa neotropicalis,,
55469,Stictodepsa sp.,,
55470,Stictopelta acutula,,
55471,Stictopelta affinis,,
55472,Stictopelta indeterminata,,
55473,Stictopelta squarus,,
55474,Stictopelta sp.,,
55475,Stilbophora nitidula,,
55476,Stilbophora sp.,,
55477,Stylocentrus ancora,,
55478,Stylocentrus sp.,,
55479,Sundarion compressicornis,,
55480,Sundarion flavopiceum,,
55481,Sundarion flavum,,
55482,Sundarion marmoratum,,
55483,Sundarion notabile,,
55484,Sundarion sp.,,
55485,Talipes appendiculatus,,
55486,Talipes sp.,,
55487,Thuris binodosus,,
55488,Thuris sp.,,
55489,Todea cimicoides,,
55490,Todea peruviana,,
55491,Todea sp.,,
55492,Tolania dira,,
55493,Tolania inornata,,
55494,Tolania obtusa,,
55495,Tolania semipellucida,,
55496,Tolania thyrea,,
55497,Tolania sp.,,
55498,Tragopa albimacula,,
55499,Tragopa annulata,,
55500,Tragopa bipartita,,
55501,Tragopa corniculata,,
55502,Tragopa decorata,,
55503,Tragopa dimidiata,,
55504,Tragopa funerula,,
55505,Tragopa morio,,
55506,Tragopa nigra,,
55507,Tragopa occulta,,
55508,Tragopa perforata,,
55509,Tragopa punctatissima,,
55510,Tragopa zebra,,
55511,Tragopa sp.,,
55512,Tritropidia galeata,,
55513,Tritropidia nimbata,,
55514,Tritropidia sp.,,
55515,Tropidolomia auriculata,,
55516,Tropidolomia involuta,,
55517,Tropidolomia sp.,,
55518,Tropidoscyta torva,,
55519,Tropidoscyta sp.,,
55520,Tumecauda magnifica,,
55521,Tumecauda sp.,,
55522,Tynelia longula,,
55523,Tynelia sp.,,
55524,Umbelligerus peruviensis,,
55525,Umbelligerus sp.,,
55526,Umbonia ataliba,,
55527,Umbonia curvispina,,
55528,Umbonia spinosa,,
55529,Umbonia sp.,,
55530,Vanduzea testudinea,,
55531,Vanduzea sp.,,
55679,Paragara sp.,,
55680,Lophyraspis sp.,,
55681,Darnini sp.,,
55682,Fulgoroidea sp.,,
55683,Tragopini sp.,,
55684,Acanthops erosula,,
55685,Metilia sp.,,
55686,Raptrix sp.,,
55687,Acanthopidae sp.,,
55688,Angela trifasciata,,
55689,Chaeteessa caudata,,
55690,Liturgusa guyanensis,,
55691,Choeradodis sp.,,
55692,Chopardiella sp.,,
55693,Pseudovates stolli,,
55694,Vates marmorata,,
55695,Vates patrinata,,
55696,Zoolea sp.,,
55697,Mantoida sp.,,
55698,Cardioptera sp.,,
55699,Eumiopteryx sp.,,
55700,Leptomiopteryx sp.,,
55701,Pseudomiopteryx sp.,,
55702,Thesprotia infumata,,
55703,Thesprotia sp.,,
55704,Thrynaconyx sp.,,
55705,Thespidae sp.,,
55706,,Potamotrygon sp.,
55707,,Hypomasticus sp.,
55708,,Leporinus sp.,
55709,,Characidium sp.,
55710,,Melanocharacidium sp.,
55711,,Microcharacidium sp.,
55712,,Bivibranchia sp.,
55713,,Hemiodus sp.,
55714,,Gasteropelecus sp.,
55715,,Astyanax sp.,
55716,,Hemigrammus sp.,
55717,,Hyphessobrycon sp.,
55718,,Jupiaba sp.,
55719,,Moenkhausia sp.,
55720,,Thayeria sp.,
55721,,Paracheirodon axelrodi,
55722,,Charax sp.,
55723,,Phenacogaster sp.,
55724,,Poptella sp.,
55725,,Bryconamericus sp. / Knodus sp.,
55726,,Creagrutus sp.,
55727,,Acestrorhynchus falcirostris,
55728,,Erythrinus sp.,
55729,,Hoplerythrinus sp.,
55730,,Copella sp.,
55731,,Nannostomus sp.,
55732,,Pyrrhulina sp.,
55733,,Ituglanis sp.,
55734,,Corydoras sp.,
55735,,Curculionichthys karipuna,
55736,,Farlowella sp.,
55737,,Harttiella sp.,
55738,,Rineloricaria sp.,
55739,,Ancistrus sp.,
55740,,Guyanancistrus megastictus,
